count,date,dose_one,dose_two,time_slot
19759.0,2021-04-28,12265.0,12265.0,22:00-23:00
3878.0,2021-04-28,1715.0,1715.0,08:00-09:00
514.0,2021-04-27,274.0,274.0,07:00-08:00
32497.0,2021-04-27,20727.0,20727.0,19:00-20:00
314764.0,2021-04-27,190809.0,190809.0,13:00-14:00
15746.0,2021-04-27,10568.0,10568.0,22:00-23:00
19194.0,2021-04-27,12284.0,12284.0,21:00-22:00
24202.0,2021-04-27,15105.0,15105.0,20:00-21:00
50866.0,2021-04-27,32382.0,32382.0,18:00-19:00
99763.0,2021-04-27,62504.0,62504.0,17:00-18:00
193504.0,2021-04-27,119085.0,119085.0,16:00-17:00
262830.0,2021-04-27,161780.0,161780.0,15:00-16:00
269138.0,2021-04-27,164177.0,164177.0,14:00-15:00
351014.0,2021-04-27,203421.0,203421.0,12:00-13:00
306054.0,2021-04-27,168833.0,168833.0,11:00-12:00
221315.0,2021-04-27,113550.0,113550.0,10:00-11:00
69290.0,2021-04-27,31517.0,31517.0,09:00-10:00
6044.0,2021-04-27,2670.0,2670.0,08:00-09:00
362099.0,2021-04-26,225748.0,225748.0,15:00-16:00
243698.0,2021-04-26,126566.0,126566.0,10:00-11:00
384831.0,2021-04-26,213517.0,213517.0,11:00-12:00
80429.0,2021-04-26,37202.0,37202.0,09:00-10:00
7843.0,2021-04-26,3329.0,3329.0,08:00-09:00
448466.0,2021-04-26,262223.0,262223.0,12:00-13:00
385437.0,2021-04-26,234554.0,234554.0,13:00-14:00
346700.0,2021-04-26,212839.0,212839.0,14:00-15:00
553.0,2021-04-26,199.0,199.0,07:00-08:00
357447.0,2021-04-26,228177.0,228177.0,16:00-17:00
195229.0,2021-04-26,124956.0,124956.0,17:00-18:00
89106.0,2021-04-26,55901.0,55901.0,18:00-19:00
34496.0,2021-04-26,23167.0,23167.0,21:00-22:00
56776.0,2021-04-26,36810.0,36810.0,19:00-20:00
40537.0,2021-04-26,25715.0,25715.0,20:00-21:00
25931.0,2021-04-26,17895.0,17895.0,22:00-23:00
9033.0,2021-04-25,6310.0,6310.0,21:00-22:00
6469.0,2021-04-25,4478.0,4478.0,22:00-23:00
117180.0,2021-04-25,82129.0,82129.0,13:00-14:00
114.0,2021-04-25,82.0,82.0,07:00-08:00
10284.0,2021-04-25,7265.0,7265.0,19:00-20:00
15298.0,2021-04-25,10582.0,10582.0,18:00-19:00
31504.0,2021-04-25,21696.0,21696.0,17:00-18:00
55923.0,2021-04-25,38941.0,38941.0,16:00-17:00
80485.0,2021-04-25,55904.0,55904.0,15:00-16:00
98967.0,2021-04-25,68650.0,68650.0,14:00-15:00
153993.0,2021-04-25,104093.0,104093.0,12:00-13:00
146256.0,2021-04-25,94411.0,94411.0,11:00-12:00
94906.0,2021-04-25,57260.0,57260.0,10:00-11:00
23640.0,2021-04-25,12950.0,12950.0,09:00-10:00
1097.0,2021-04-25,450.0,450.0,08:00-09:00
9095.0,2021-04-25,6814.0,6814.0,20:00-21:00
280612.0,2021-04-24,187189.0,187189.0,15:00-16:00
20062.0,2021-04-24,13579.0,13579.0,21:00-22:00
213.0,2021-04-24,54.0,54.0,07:00-08:00
2535.0,2021-04-24,849.0,849.0,08:00-09:00
53610.0,2021-04-24,24382.0,24382.0,09:00-10:00
176097.0,2021-04-24,92079.0,92079.0,10:00-11:00
338523.0,2021-04-24,199225.0,199225.0,11:00-12:00
380276.0,2021-04-24,237683.0,237683.0,12:00-13:00
316492.0,2021-04-24,206191.0,206191.0,13:00-14:00
292211.0,2021-04-24,190419.0,190419.0,14:00-15:00
205161.0,2021-04-24,137029.0,137029.0,16:00-17:00
97565.0,2021-04-24,66333.0,66333.0,17:00-18:00
50712.0,2021-04-24,34299.0,34299.0,18:00-19:00
31597.0,2021-04-24,21113.0,21113.0,19:00-20:00
23935.0,2021-04-24,16185.0,16185.0,20:00-21:00
17136.0,2021-04-24,11646.0,11646.0,22:00-23:00
39282.0,2021-04-23,26205.0,26205.0,19:00-20:00
